source_text,tone,target_text,,,
പേപ്പർ എല്ലാം നോക്കി,informal,All papers have been checked,,,
സത്യം തെളിയുന്ന കാഗിതങ്ങൾ,poetic,Papers that reveal truth,,,
ദയവായി നിർദ്ദേശങ്ങൾ ശ്രദ്ധിക്കുക,formal,Please pay attention to the instructions,,,
പറഞ്ഞത് പോലെ ചെയ്താൽ മതി,informal,Just do as instructed,,,
വാക്കുകൾ വഴിയാകുന്നു,poetic,Words become pathways,,,
അപേക്ഷ നിരസിക്കപ്പെട്ടു,formal,The application has been rejected,,,
അപേക്ഷ പോകില്ല,informal,The application didn’t go through,,,
പ്രതീക്ഷ തകർന്ന ഒരു നിമിഷം,poetic,A moment where hope breaks,,,
ദയവായി ബന്ധപ്പെടാനുള്ള വിവരങ്ങൾ നൽകുക,formal,Please provide contact details,,,
നമ്പർ ഒന്ന് തരാമോ?,informal,Can you give the number?,,,
ബന്ധത്തിന്റെ പാലം തുറക്കുന്നു,poetic,A bridge of connection opens,,,
അപേക്ഷ അംഗീകരിക്കുന്നതിലുണ്ട്,formal,The application is under approval,,,
അപേക്ഷ നോക്കുന്ന ഘട്ടത്തിലാണ്,informal,The application is under review,,,
പ്രതീക്ഷ കാത്തുനിൽക്കുന്ന ഘട്ടം,poetic,A phase where hope waits,,,
ദയവായി വീണ്ടും അറിയിപ്പ് നൽകും,formal,You will be notified again,,,
വീണ്ടും അറിയിക്കും കേട്ടോ,informal,I’ll inform you again,,,
വാക്കുകളായി എത്തുന്ന വാർത്ത,poetic,News arriving as words,,,
ദയവായി ഫീസ് നാളെക്കുള്ളിൽ അടയ്ക്കണം,formal,Please pay the fee by tomorrow,,,
ഫീസ് നാളെ അടച്ചാൽ മതി അല്ലേ?,informal,Is it okay if I pay the fee tomorrow?,,,
പണമെന്ന ബാധ്യത നാളെയിലേക്ക് നീളുന്നു,poetic,The burden of payment stretches to tomorrow,,,
അപേക്ഷ ഔദ്യോഗികമായി സ്വീകരിച്ചു,formal,The application has been officially accepted,,,
അപേക്ഷ എടുത്തിട്ടുണ്ട്,informal,The application has been taken,,,
ഒരു തുടക്കത്തിന്റെ മുദ്ര പതിഞ്ഞു,poetic,A mark of beginning has been stamped,,,
ദയവായി ഓഫീസിൽ സമയം കൃത്യമായി പാലിക്കുക,formal,Please maintain punctuality at the office,,,
ഓഫീസിൽ സമയത്ത് എത്തണം കേട്ടോ,informal,Be sure to reach the office on time,,,
സമയം വഴിതെറ്റാതെ മുന്നേറുന്നു,poetic,Time moves without losing its path,,,
രേഖകൾ അപൂർണ്ണമാണെന്ന് കണ്ടെത്തി,formal,The documents were found to be incomplete,,,
പേപ്പർ കുറവുണ്ട്,informal,Some papers are missing,,,
കുറവുകളുടെ ഇടയിൽ നിൽക്കുന്ന ശ്രമം,poetic,An effort standing among deficiencies,,,
ദയവായി പരാതി എഴുതി സമർപ്പിക്കുക,formal,Please submit the complaint in writing,,,
പരാതി എഴുതിക്കൊടുക്കണേ,informal,Please write and submit the complaint,,,
വാക്കുകളായി മാറുന്ന വേദന,poetic,Pain turning into words,,,
യോഗം ഉച്ചയ്ക്ക് ശേഷം ആരംഭിക്കും,formal,The meeting will begin in the afternoon,,,
ഉച്ചക്ക് ശേഷം മീറ്റിംഗ് ഉണ്ടാകും,informal,There will be a meeting after lunch,,,
സൂര്യൻ കുനിയുമ്പോൾ കൂടിക്കാഴ്ച,poetic,A meeting as the sun bends,,,
അപേക്ഷ പരിഗണനയിൽ തുടരുന്നു,formal,The application remains under consideration,,,
അപേക്ഷ ഇനിയും നോക്കുന്നുണ്ട്,informal,The application is still being reviewed,,,
പ്രതീക്ഷ നീളുന്ന സമയം,poetic,Time where hope stretches,,,
ദയവായി രേഖകൾ പുതുക്കി നൽകുക,formal,Please submit updated documents,,,
പേപ്പർ ഒന്ന് അപ്ഡേറ്റ് ചെയ്യണം,informal,You need to update the papers,,,
പുതുമയുടെ കാറ്റ് വീശുന്ന രേഖകൾ,poetic,Documents touched by renewal,,,
സേവനം താൽക്കാലികമായി ലഭ്യമല്ല,formal,The service is temporarily unavailable,,,
ഇപ്പൊ സർവീസ് കിട്ടില്ല,informal,The service isn’t available right now,,,
ഇടവേളയിൽ മൗനം നിറയുന്നു,poetic,Silence fills the pause,,,
അപേക്ഷ അംഗീകരിക്കാൻ സാധ്യതയുണ്ട്,formal,The application is likely to be approved,,,
അപേക്ഷ പോവാൻ ചാൻസ് ഉണ്ട്,informal,There is a chance it may get approved,,,
പ്രതീക്ഷ ചെറു വിളക്കായി തെളിയുന്നു,poetic,Hope lights up as a small lamp,,,
ദയവായി നിർദ്ദേശങ്ങൾ പാലിക്കുക,formal,Please follow the instructions,,,
പറഞ്ഞതുപോലെ ചെയ്താൽ പോരെ,informal,Isn’t it enough if you do as told?,,,
വാക്കുകൾ വഴികാട്ടികളാകുന്നു,poetic,Words become guides,,,
അപേക്ഷ റദ്ദാക്കിയതായി അറിയിക്കുന്നു,formal,We inform that the application is cancelled,,,
അപേക്ഷ ക്യാൻസൽ ആയി,informal,The application got cancelled,,,
അവസാനത്തിന്റെ ശബ്ദം കേൾക്കുന്നു,poetic,The sound of an ending is heard,,,
ദയവായി മറുപടി ഉടൻ നൽകുക,formal,Please provide a response immediately,,,
ഉടൻ മറുപടി തരാമോ,informal,Can you reply quickly?,,,
കാത്തിരിപ്പിന്റെ നിമിഷങ്ങൾ നീളുന്നു,poetic,Moments of waiting grow longer,,,
അപേക്ഷ അടുത്ത ഘട്ടത്തിലേക്ക് കടന്നു,formal,The application has moved to the next stage,,,
അപേക്ഷ അടുത്ത സ്റ്റേജിലാണ്,informal,The application is in the next stage,,,
മുന്നോട്ടുള്ള വഴിയിലേക്കുള്ള ചുവട്,poetic,A step toward the path ahead,,,
ദയവായി വിവരങ്ങൾ സ്ഥിരീകരിക്കുക,formal,Please verify the information,,,
ഡീറ്റെയിൽസ് ഒന്ന് ഉറപ്പാക്കൂ,informal,Please confirm the details,,,
സത്യത്തിലേക്കുള്ള പരിശോധന,poetic,A verification toward truth,,,
,,,,,
,,,,,
ദയവായി അപേക്ഷ ഇന്ന് തന്നെ സമർപ്പിക്കണം,formal,Please submit the application today itself,,,
നാളെ രാവിലെ യോഗം നിശ്ചയിച്ചിരിക്കുന്നു,formal,The meeting has been scheduled for tomorrow morning,,,
താങ്കളുടെ അപേക്ഷ പരിശോധിച്ച ശേഷം അറിയിക്കും,formal,You will be informed after reviewing your application,,,
ഈ സേവനം ഓഫീസ് സമയങ്ങളിൽ മാത്രം ലഭ്യമാണ്,formal,This service is available only during office hours,,,
റിപ്പോർട്ട് വൈകാതെ സമർപ്പിക്കണമെന്ന് അഭ്യർത്ഥിക്കുന്നു,formal,Kindly ensure the report is submitted without delay,,,
അനുമതി ലഭിച്ചാൽ മാത്രമേ പ്രവേശനം അനുവദിക്കൂ,formal,Entry will be permitted only after approval,,,
ഫയൽ സംബന്ധിച്ച വിവരങ്ങൾ ഇമെയിലിൽ അയയ്ക്കുക,formal,Please send the file details via email,,,
യോഗത്തിന്റെ മിനിറ്റ്സ് പിന്നീട് പങ്കുവെക്കും,formal,The meeting minutes will be shared later,,,
പരാതി രജിസ്റ്റർ ചെയ്തതായി സ്ഥിരീകരിക്കുന്നു,formal,This confirms that the complaint has been registered,,,
ഡോക്ടറെ കാണുന്നതിനായി മുൻകൂട്ടി സമയം എടുക്കണം,formal,Please take an appointment before consulting the doctor,,,
ബിൽ തുക ഈ ആഴ്ചയ്ക്കകം അടയ്ക്കണം,formal,The bill amount must be paid within this week,,,
നിർദ്ദേശങ്ങൾ കൃത്യമായി പാലിക്കണമെന്ന് അഭ്യർത്ഥിക്കുന്നു,formal,Kindly follow the instructions carefully,,,
അഭിമുഖത്തിന്റെ തീയതി പിന്നീട് അറിയിക്കും,formal,The interview date will be informed later,,,
പരീക്ഷാഫലം ഔദ്യോഗിക വെബ്സൈറ്റിൽ പ്രസിദ്ധീകരിക്കും,formal,The exam results will be published on the official website,,,
അറിയിപ്പുകൾ ശ്രദ്ധാപൂർവം വായിക്കണം,formal,Please read the notifications carefully,,,
സർക്കാർ ഉത്തരവ് ഉടൻ പ്രാബല്യത്തിൽ വരും,formal,The government order will come into effect immediately,,,
പ്രവർത്തനം താൽക്കാലികമായി നിർത്തിവെച്ചിരിക്കുന്നു,formal,The operation has been temporarily suspended,,,
അപേക്ഷ സമർപ്പിച്ച തീയതി രേഖപ്പെടുത്തണം,formal,The application submission date must be recorded,,,
സഹകരണത്തിന് നന്ദി അറിയിക്കുന്നു,formal,We appreciate your cooperation,,,
ഈ വിഷയത്തിൽ ഔദ്യോഗിക വിശദീകരണം നൽകും,formal,An official clarification will be provided,,,
പരിശോധന പൂർത്തിയായതായി അറിയിക്കുന്നു,formal,This is to inform that the inspection is complete,,,
യോഗത്തിൽ പങ്കെടുത്തതിന് നന്ദി,formal,Thank you for attending the meeting,,,
സമയബന്ധിതമായ പ്രതികരണം പ്രതീക്ഷിക്കുന്നു,formal,A timely response is expected,,,
സേവനം നാളെ മുതൽ പുനരാരംഭിക്കും,formal,The service will resume from tomorrow,,,
അറിയിപ്പ് ലഭിച്ച ശേഷം മാത്രം നടപടികൾ ആരംഭിക്കും,formal,Actions will begin only after receiving notification,,,
രേഖകൾ സമർപ്പിക്കുന്നതിനുള്ള അവസാന തീയതി നാളെ,formal,The deadline for document submission is tomorrow,,,
പദ്ധതി ഔദ്യോഗികമായി ഉദ്ഘാടനം ചെയ്തു,formal,The project has been officially inaugurated,,,
സന്ദർശകർക്കായി പ്രത്യേക രജിസ്ട്രേഷൻ ആവശ്യമാണ്,formal,Special registration is required for visitors,,,
പരിശീലന പരിപാടി അടുത്ത ആഴ്ച ആരംഭിക്കും,formal,The training program will begin next week,,,
നിലവിലെ സ്ഥിതിഗതികൾ വിലയിരുത്തുന്നു,formal,The current situation is under review,,,
അപേക്ഷ പരിഗണനയിലാണ്,formal,The application is under consideration,,,
സമ്മേളനം വൈകുന്നേരം നടക്കും,formal,The conference will take place in the evening,,,
വിശദാംശങ്ങൾ ഉടൻ പങ്കുവെക്കും,formal,Details will be shared shortly,,,
,,,,,
ഇന്ന് തന്നെ ഫയൽ തരാമോ?,informal,Can you give the file today?,,,
നാളെ ക്ലാസ്സുണ്ടോ?,informal,Is there class tomorrow?,,,
ഇവിടെ കുറച്ച് നേരം കാത്തിരിക്കൂ,informal,Wait here for a bit,,,
ഇത് പാളിയാൽ നമുക്ക് പ്രശ്നമാകും,informal,"If this fails, we will have a problem",,,
"കുറച്ച് വൈകും, ഞാൻ വരാം",informal,"It will be a bit late, I will come",,,
അവൻ ഇന്നലെ വന്നില്ലേ?,informal,Didn’t he come yesterday?,,,
ചായ കുടിച്ചിട്ട് പോവാം,informal,Let’s have tea and then go,,,
ഇന്ന് മഴ കനക്കുമെന്നു തോന്നുന്നു,informal,Looks like it will rain heavily today,,,
ബസ് ഒന്ന് മിസ് ആയി,informal,I just missed the bus,,,
അവിടെ എത്താൻ കുറച്ച് സമയം പിടിക്കും,informal,It will take some time to reach there,,,
ഇത് നാളെ തീർക്കാം,informal,Let’s finish this tomorrow,,,
ഫോൺ എടുത്തില്ലേ?,informal,Didn’t you pick up the phone?,,,
ഇന്നത്തെ പരിപാടി ക്യാൻസൽ ആയി,informal,Today’s program got cancelled,,,
കുറച്ച് തിരക്കുണ്ട് ഇപ്പോൾ,informal,I’m a bit busy right now,,,
ഇവിടെ നല്ല ചൂടാണ്,informal,It’s really hot here,,,
വൈകിട്ട് കാണാം,informal,See you in the evening,,,
അവൾ പറഞ്ഞത് ശരിയാ,informal,What she said is correct,,,
ഇത് ഒന്ന് നോക്കിക്കോളൂ,informal,Please check this once,,,
അവൻ ഇപ്പോൾ തന്നെ എത്തും,informal,He will arrive shortly,,,
നാളെ അവധി ആണോ?,informal,Is tomorrow a holiday?,,,
ഇവിടെ നിന്നാൽ കാറ്റ് കിട്ടും,informal,You’ll get some breeze if you stand here,,,
ഇത് ഞാൻ തന്നെ ചെയ്യും,informal,I’ll do this myself,,,
ഇന്ന് നല്ല തിരക്കായിരുന്നു,informal,It was very crowded today,,,
ഇവിടെ ഇരിക്കാം,informal,Let’s sit here,,,
കുറച്ച് കൂടി സമയം വേണം,informal,I need a little more time,,,
അവൾ ഇപ്പോൾ പുറത്താണ്,informal,She is out right now,,,
അത് ശരിയല്ലേ?,informal,Isn’t that right?,,,
ഇന്നലെ നല്ല മഴ പെയ്തു,informal,It rained well yesterday,,,
വണ്ടി സ്റ്റാർട്ട് ആകുന്നില്ല,informal,The vehicle is not starting,,,
ഇത് എവിടെ വെച്ചത്?,informal,Where did you keep this?,,,
അവൻ കുറച്ച് ദൂരമേ പോയുള്ളൂ,informal,He has only gone a short distance,,,
ഇന്നത്തെ ഭക്ഷണം നന്നായിരുന്നു,informal,Today’s food was good,,,
അവിടെ ആളുകൾ കൂടുതലാണ്,informal,There are many people there,,,
മഴയുടെ ശബ്ദത്തിൽ നഗരം നിദ്രിക്കുന്നു,poetic,The city sleeps to the sound of rain,,,
സന്ധ്യയുടെ നിറങ്ങൾ ആകാശത്ത് പതിഞ്ഞു,poetic,Evening colors settled into the sky,,,
കടലിന്റെ ശ്വാസം തീരത്ത് തട്ടി,poetic,The sea’s breath touched the shore,,,
മലകളുടെ നിശ്ശബ്ദത മനസ്സിൽ നിറഞ്ഞു,poetic,The silence of the hills filled the mind,,,
ചായയുടെ ചൂടിൽ ഓർമ്മകൾ ഉണർന്നു,poetic,Memories awoke in the warmth of tea,,,
വെയിലിൽ വഴികൾ കത്തിയിരുന്നു,poetic,The roads burned under the sun,,,
കാറ്റ് കഥകൾ പറഞ്ഞുപോയി,poetic,The wind whispered stories,,,
നദി പതുക്കെ സമയം കൊണ്ടുപോയി,poetic,The river slowly carried time away,,,
രാത്രി ചന്ദ്രനോട് സംസാരിച്ചു,poetic,The night spoke to the moon,,,
മഴത്തുള്ളികൾ സ്വപ്നമായി വീണു,poetic,Raindrops fell like dreams,,,
തീരത്ത് കാൽപ്പാടുകൾ മറഞ്ഞു,poetic,Footprints vanished on the shore,,,
പുലരിയിൽ പക്ഷികൾ പാടി,poetic,Birds sang at dawn,,,
നഗരം വെളിച്ചത്തിൽ ഉണർന്നു,poetic,The city awoke in light,,,
മഞ്ഞിന്റെ മണം കുന്നുകളിൽ പടർന്നു,poetic,The scent of mist spread across hills,,,
സന്ധ്യ കാത്തിരിപ്പായി,poetic,Evening became a wait,,,
വാക്കുകൾ മൗനമായി മാറി,poetic,Words turned into silence,,,
സമയം പതുക്കെ നിൽക്കുന്നു,poetic,Time slowed down,,,
കടൽ നീല സ്വപ്നമായി,poetic,The sea became a blue dream,,,
ചിരിയിൽ സൂര്യൻ തെളിഞ്ഞു,poetic,The sun shone in a smile,,,
നിലാവിൽ ഓർമ്മകൾ ഒഴുകി,poetic,Memories flowed in moonlight,,,
കാറ്റ് വഴികൾ തിരഞ്ഞു,poetic,The wind searched for paths,,,
രാത്രി കഥയായി നീണ്ടു,poetic,The night stretched into a story,,,
വെയിൽ ചുവടുകളിൽ പതിഞ്ഞു,poetic,Sunlight clung to footsteps,,,
മഴ കാവ്യമായി പെയ്തു,poetic,Rain fell like poetry,,,
പുലരി പ്രതീക്ഷയായി,poetic,Dawn became hope,,,
നഗരം ശ്വാസമെടുത്തു,poetic,The city took a breath,,,
നദി പാട്ടുപാടി,poetic,The river sang,,,
കുന്നുകൾ കാത്തുനിന്നു,poetic,The hills waited,,,
നിഴലുകൾ നീണ്ടു,poetic,Shadows stretched,,,
വാക്കുകൾ ചിറകെടുത്തു,poetic,Words grew wings,,,
ചായം മങ്ങുന്ന സന്ധ്യ,poetic,A fading evening,,,
മനസ്സ് യാത്രയായി,poetic,The mind became a journey,,,
മഴ വീണ്ടും തുടങ്ങി,poetic,The rain began again,,,
,,,,,
യോഗത്തിനുള്ള ക്ഷണം ഔദ്യോഗികമായി അയച്ചിട്ടുണ്ട്,formal,The invitation for the meeting has been officially sent,,,
പരാതി പരിഗണനയിൽ ഉള്ളതായി അറിയിക്കുന്നു,formal,We inform you that the complaint is under consideration,,,
പരിശോധന റിപ്പോർട്ട് ഇന്ന് സമർപ്പിക്കും,formal,The inspection report will be submitted today,,,
പ്രവർത്തനം നിശ്ചിത സമയത്ത് ആരംഭിക്കും,formal,The work will commence at the scheduled time,,,
പദ്ധതിയുടെ പുരോഗതി വിലയിരുത്തി,formal,The progress of the project has been reviewed,,,
സഹായത്തിനായി ഹെൽപ്‌ഡെസ്‌കുമായി ബന്ധപ്പെടുക,formal,Please contact the helpdesk for assistance,,,
രേഖകൾ ശരിവെച്ചതായി സ്ഥിരീകരിക്കുന്നു,formal,The documents have been verified,,,
അഭിമുഖം ഓൺലൈനായി നടത്തപ്പെടും,formal,The interview will be conducted online,,,
സേവനം താൽക്കാലികമായി നിർത്തിവെച്ചിരിക്കുന്നു,formal,The service has been temporarily halted,,,
പുതിയ മാർഗനിർദ്ദേശങ്ങൾ പുറത്തിറക്കി,formal,New guidelines have been released,,,
അപേക്ഷ സ്വീകരിച്ചതായി സ്ഥിരീകരിക്കുന്നു,formal,This confirms receipt of the application,,,
യോഗത്തിന്റെ അജണ്ട മുൻകൂട്ടി പങ്കുവെക്കും,formal,The agenda will be shared in advance,,,
സമയപരിധി നീട്ടിയതായി അറിയിക്കുന്നു,formal,The deadline has been extended,,,
പരിശീലനം നിർബന്ധമായിരിക്കും,formal,The training will be mandatory,,,
പരാതിക്ക് ഉടൻ മറുപടി നൽകും,formal,A response to the complaint will be given shortly,,,
നിർദ്ദേശം പ്രാബല്യത്തിൽ വന്നു,formal,The directive has come into effect,,,
പദ്ധതി ഔദ്യോഗികമായി അവസാനിപ്പിച്ചു,formal,The project has been officially concluded,,,
അവലോകന യോഗം നാളെ നടക്കും,formal,The review meeting will be held tomorrow,,,
നടപടികൾ പുരോഗമിക്കുകയാണ്,formal,The procedures are in progress,,,
അറിയിപ്പ് ഔദ്യോഗികമായി പ്രസിദ്ധീകരിച്ചു,formal,The notification has been officially published,,,
അനുമതി ലഭിച്ച ശേഷം പ്രവർത്തനം ആരംഭിക്കും,formal,Work will begin after approval,,,
പരിശോധന സംഘമെത്തിയിട്ടുണ്ട്,formal,The inspection team has arrived,,,
വിശദീകരണം ഉടൻ നൽകും,formal,A clarification will be provided soon,,,
അഭ്യർത്ഥന അംഗീകരിച്ചു,formal,The request has been approved,,,
ഫീസ് അടച്ചതായി രേഖപ്പെടുത്തി,formal,The fee payment has been recorded,,,
യോഗം വൈകിട്ട് നടത്തും,formal,The meeting will be held in the evening,,,
സേവനം പുനരാരംഭിച്ചിരിക്കുന്നു,formal,The service has been resumed,,,
അപേക്ഷ തള്ളിയതായി അറിയിക്കുന്നു,formal,We regret to inform that the application was rejected,,,
നടപടി ക്രമങ്ങൾ പൂർത്തിയായി,formal,The procedures have been completed,,,
രേഖകൾ ഇമെയിലായി അയക്കണം,formal,Documents must be sent via email,,,
സമിതി റിപ്പോർട്ട് സമർപ്പിച്ചു,formal,The committee submitted its report,,,
നിർദ്ദേശങ്ങൾ പുതുക്കിയിട്ടുണ്ട്,formal,The instructions have been updated,,,
സേവന സമയം പരിഷ്കരിച്ചു,formal,Service timings have been revised,,,
യോഗം ഔദ്യോഗികമായി അവസാനിച്ചു,formal,The meeting officially concluded,,,
ഇന്ന് കട അടച്ചിട്ടുണ്ടേ,informal,The shop is closed today,,,
അവൻ ഇപ്പോൾ വീട്ടിലുണ്ട്,informal,He is at home right now,,,
കുറച്ച് നേരം കഴിഞ്ഞ് വിളിക്കാം,informal,I’ll call after some time,,,
ഇവിടെ നല്ല തിരക്കാണ്,informal,It’s very crowded here,,,
ഇത് എനിക്ക് ഇഷ്ടപ്പെട്ടു,informal,I liked this,,,
അവൾക്ക് ഇന്ന് വരാൻ പറ്റില്ല,informal,She can’t come today,,,
ബസ് ഇപ്പോൾ പോയി,informal,The bus just left,,,
ഇവിടെ പാർക്ക് ചെയ്യരുത്,informal,Don’t park here,,,
